,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Jeff Smith (NYJ),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Britain Covey (PHI),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tim Jones (JAC),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Mike Strachan (IND),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Kyle Philips (TEN),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Maurice Alexander (DET),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Dax Milne (WAS),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jaelon Darden (CLE),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Marquise Goodwin (CLE),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Marvin Jones Jr. (FA),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Matthew Slater (NE),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kenny Golladay (FA),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Dante Pettis (FA),2022,4,0,3,0,0.0,0,0,0,0,0,0,0,0.0
River Cracraft (MIA),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Trent Taylor (CIN),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
